drive_step,theta_c,x_dot_c,y_dot_c,x_c,y_c,x_o
-0.980000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.960000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.940000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.920000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.900000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.880000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.860000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.840000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.820000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.800000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.780000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.760000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.740000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.720000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.700000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.680000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.660000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.640000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.620000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.600000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.580000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.560000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.540000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.520000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.500000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.480000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.460000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.440000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.420000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.400000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.380000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.360000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.340000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.320000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.300000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.280000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.260000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.240000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.220000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.200000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.180000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.160000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.140000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.120000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.100000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.080000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.060000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.040000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
-0.020000,-0.010775,-0.008007,0.012828,265.496338,15.535179,0.000000
0.020000,-0.010803,-0.010590,0.030915,265.496002,15.535752,0.000000
0.040000,-0.010950,0.005018,0.035366,265.496033,15.536373,0.000000
0.060000,-0.011107,0.005272,0.044344,265.496002,15.537186,0.000000
0.080000,-0.011386,0.006638,0.051889,265.496063,15.538157,0.000000
0.100000,-0.011752,0.006768,0.056764,265.496124,15.539248,0.000000
0.120000,-0.012258,0.007952,0.062674,265.496277,15.540449,0.000000
0.140000,-0.012829,0.007136,0.068592,265.496399,15.541767,0.000000
0.160000,-0.013499,0.008577,0.073875,265.496613,15.543201,0.000000
0.180000,-0.014225,0.007275,0.077676,265.496796,15.544722,0.000000
0.200000,-0.015067,0.008542,0.080232,265.496979,15.546305,0.000000
0.220000,-0.015938,0.007764,0.084473,265.497192,15.547955,0.000000
0.240000,-0.016859,0.022662,0.084990,265.497375,15.549664,0.000000
0.262000,-0.017732,0.069662,0.076074,265.498688,15.551388,0.000000
0.282000,-0.018185,0.116407,0.039824,265.500854,15.552341,0.000000
0.302000,-0.018358,0.198692,0.023516,265.503754,15.553006,0.000000
0.322000,-0.018523,0.206028,0.012310,265.507507,15.553454,0.000000
0.342000,-0.018524,0.251491,0.012704,265.512177,15.553718,0.000000
0.362000,-0.018599,0.287007,0.015973,265.518097,15.553990,0.000000
0.382000,-0.018587,0.376352,0.011758,265.524811,15.554258,0.000000
0.402000,-0.018610,0.401327,0.011552,265.532227,15.554514,0.000000
0.422000,-0.018644,0.442254,0.014515,265.540802,15.554769,0.000000
0.442000,-0.018705,0.482659,0.010051,265.550262,15.554971,0.000000
0.462000,-0.018657,0.571817,0.008069,265.560638,15.555172,0.000000
0.482000,-0.018785,0.555629,0.011090,265.571869,15.555385,0.000000
0.504000,-0.018750,0.625980,0.007304,265.585541,15.555515,0.000000
